fare_type,fare_condition_type,price,start_zone,mid_zone,end_zone,start_time,end_time
regular,nonpeak,6.5,1,,1,,
regular,nonpeak,7.75,3,,1,,
regular,nonpeak,9.25,4,,1,,
regular,nonpeak,10.25,7,,1,,
regular,nonpeak,12,9,,1,,
regular,nonpeak,14.25,10,,1,,
regular,nonpeak,17,12,,1,,
regular,nonpeak,22.25,14,,1,,
regular,nonpeak,4,3,,3,,
regular,nonpeak,6,4,,3,,
regular,nonpeak,7.25,7,,3,,
regular,nonpeak,9,9,,3,,
regular,nonpeak,11,10,,3,,
regular,nonpeak,14.75,12,,3,,
regular,nonpeak,19,14,,3,,
regular,nonpeak,3.25,4,,4,,
regular,nonpeak,3.25,7,,4,,
regular,nonpeak,6,9,,4,,
regular,nonpeak,7.5,10,,4,,
regular,nonpeak,11.25,12,,4,,
regular,nonpeak,17.75,4,,4,,
regular,nonpeak,3.25,7,,7,,
regular,nonpeak,3.25,9,,7,,
regular,nonpeak,6,10,,7,,
regular,nonpeak,10,12,,7,,
regular,nonpeak,16.5,14,,7,,
regular,nonpeak,3.25,9,,9,,
regular,nonpeak,3.25,10,,9,,
regular,nonpeak,7.5,12,,9,,
regular,nonpeak,13.5,14,,9,,
regular,nonpeak,3.25,10,,10,,
regular,nonpeak,3.25,12,,10,,
regular,nonpeak,9,14,,10,,
regular,nonpeak,3.25,12,,12,,
regular,nonpeak,6.5,14,,12,,
regular,nonpeak,3.25,14,,14,,
regular,nonpeak,7.75,1,,3,,
regular,nonpeak,9.25,1,,4,,
regular,nonpeak,10.25,1,,7,,
regular,nonpeak,12,1,,9,,
regular,nonpeak,14.25,1,,10,,
regular,nonpeak,17,1,,12,,
regular,nonpeak,22.25,1,,14,,
regular,nonpeak,6,3,,4,,
regular,nonpeak,7.25,3,,7,,
regular,nonpeak,9,3,,9,,
regular,nonpeak,11,3,,10,,
regular,nonpeak,14.75,3,,12,,
regular,nonpeak,19,3,,14,,
regular,nonpeak,3.25,4,,7,,
regular,nonpeak,6,4,,9,,
regular,nonpeak,7.5,4,,10,,
regular,nonpeak,11.25,4,,12,,
regular,nonpeak,17.75,4,,4,,
regular,nonpeak,3.25,7,,9,,
regular,nonpeak,6,7,,10,,
regular,nonpeak,10,7,,12,,
regular,nonpeak,16.5,7,,14,,
regular,nonpeak,3.25,9,,10,,
regular,nonpeak,7.5,9,,12,,
regular,nonpeak,13.5,9,,14,,
regular,nonpeak,3.25,10,,12,,
regular,nonpeak,9,10,,14,,
regular,nonpeak,6.5,12,,14,,
regular,peak,9,1,,1,,
regular,peak,10.75,3,,1,,
regular,peak,12.5,4,,1,,
regular,peak,14,7,,1,,
regular,peak,16.75,9,,1,,
regular,peak,19.75,10,,1,,
regular,peak,23.5,12,,1,,
regular,peak,30.5,14,,1,,
regular,peak,5.5,3,,3,,
regular,peak,8.25,4,,3,,
regular,peak,10,7,,3,,
regular,peak,12.25,9,,3,,
regular,peak,15.25,10,,3,,
regular,peak,20.25,12,,3,,
regular,peak,26,14,,3,,
regular,peak,3.25,4,,4,,
regular,peak,3.25,7,,4,,
regular,peak,6,9,,4,,
regular,peak,7.5,10,,4,,
regular,peak,11.25,12,,4,,
regular,peak,17.75,14,,4,,
regular,peak,3.25,7,,7,,
regular,peak,3.25,9,,7,,
regular,peak,6,10,,7,,
regular,peak,10,12,,7,,
regular,peak,16.5,14,,7,,
regular,peak,3.25,9,,9,,
regular,peak,3.25,10,,9,,
regular,peak,7.5,12,,9,,
regular,peak,13.5,14,,9,,
regular,peak,3.25,10,,10,,
regular,peak,3.25,12,,10,,
regular,peak,9.5,14,,10,,
regular,peak,3.25,12,,12,,
regular,peak,6.5,14,,12,,
regular,peak,3.25,14,,14,,
regular,peak,10.75,1,,3,,
regular,peak,12.5,1,,4,,
regular,peak,14,1,,7,,
regular,peak,16.75,1,,9,,
regular,peak,19.75,1,,10,,
regular,peak,23.5,1,,12,,
regular,peak,30.5,1,,14,,
regular,peak,8.25,3,,4,,
regular,peak,10,3,,7,,
regular,peak,12.25,3,,9,,
regular,peak,15.25,3,,10,,
regular,peak,20.25,3,,12,,
regular,peak,26,3,,14,,
regular,peak,3.25,4,,7,,
regular,peak,6,4,,9,,
regular,peak,7.5,4,,10,,
regular,peak,11.25,4,,12,,
regular,peak,17.75,4,,14,,
regular,peak,3.25,7,,9,,
regular,peak,6,7,,10,,
regular,peak,10,7,,12,,
regular,peak,16.5,7,,14,,
regular,peak,3.25,9,,10,,
regular,peak,7.5,9,,12,,
regular,peak,13.5,9,,14,,
regular,peak,3.25,10,,12,,
regular,peak,9.5,10,,14,,
regular,peak,6.5,12,,14,,
regular,nonpeak,7.25,1,1,1,,
regular,nonpeak,8.25,3,1,1,,
regular,nonpeak,9.5,4,1,1,,
regular,nonpeak,10.5,7,1,1,,
regular,nonpeak,12.5,9,1,1,,
regular,nonpeak,24.75,10,1,1,,
regular,nonpeak,18,12,1,1,,
regular,nonpeak,22.5,14,1,1,,
regular,nonpeak,8.75,3,1,3,,
