fare_type,fare_condition_type,price,start_zone,mid_zone,end_zone,start_time,end_time
regular,nonpeak,6.25,0,,1,,
regular,nonpeak,7.25,0,,2,,
regular,nonpeak,8.75,0,,3,,
regular,nonpeak,9.75,0,,4,,
regular,nonpeak,11.25,0,,5,,
regular,nonpeak,13.25,0,,6,,
regular,nonpeak,15,0,,7,,
regular,nonpeak,7.5,0,,8,,
regular,nonpeak,19.25,0,,9,,
regular,nonpeak,20.25,0,,10,,
regular,nonpeak,6.25,1,,0,,
regular,nonpeak,7.25,1,,2,,
regular,nonpeak,8.75,1,,3,,
regular,nonpeak,9.75,1,,4,,
regular,nonpeak,11.25,1,,5,,
regular,nonpeak,13.25,1,,6,,
regular,nonpeak,15,1,,7,,
regular,nonpeak,17.5,1,,8,,
regular,nonpeak,19.25,1,,9,,
regular,nonpeak,20.25,1,,10,,
regular,nonpeak,7.25,2,,0,,
regular,nonpeak,7.25,2,,1,,
regular,nonpeak,3,2,,2,,
regular,nonpeak,3,2,,3,,
regular,nonpeak,4.25,2,,4,,
regular,nonpeak,5.75,2,,5,,
regular,nonpeak,8,2,,6,,
regular,nonpeak,11.5,2,,7,,
regular,nonpeak,14.5,2,,8,,
regular,nonpeak,16.75,2,,9,,
regular,nonpeak,18,2,,10,,
regular,nonpeak,8.75,3,,0,,
regular,nonpeak,8.75,3,,1,,
regular,nonpeak,3,3,,2,,
regular,nonpeak,3,3,,3,,
regular,nonpeak,3,3,,4,,
regular,nonpeak,5,3,,5,,
regular,nonpeak,7.25,3,,6,,
regular,nonpeak,8.75,3,,7,,
regular,nonpeak,13,3,,8,,
regular,nonpeak,15.25,3,,9,,
regular,nonpeak,16,3,,10,,
regular,nonpeak,9.75,4,,0,,
regular,nonpeak,9.75,4,,1,,
regular,nonpeak,4.25,4,,2,,
regular,nonpeak,3,4,,3,,
regular,nonpeak,3,4,,4,,
regular,nonpeak,3,4,,5,,
regular,nonpeak,6,4,,6,,
regular,nonpeak,7.75,4,,7,,
regular,nonpeak,11.5,4,,8,,
regular,nonpeak,13.75,4,,9,,
regular,nonpeak,14.75,4,,10,,
regular,nonpeak,11.25,5,,0,,
regular,nonpeak,11.25,5,,1,,
regular,nonpeak,5.75,5,,2,,
regular,nonpeak,5,5,,3,,
regular,nonpeak,3,5,,4,,
regular,nonpeak,3,5,,5,,
regular,nonpeak,3,5,,6,,
regular,nonpeak,6.75,5,,7,,
regular,nonpeak,8.25,5,,8,,
regular,nonpeak,12,5,,9,,
regular,nonpeak,12.75,5,,10,,
regular,nonpeak,13.25,6,,0,,
regular,nonpeak,13.25,6,,1,,
regular,nonpeak,8,6,,2,,
regular,nonpeak,7.25,6,,3,,
regular,nonpeak,6,6,,4,,
regular,nonpeak,3,6,,5,,
regular,nonpeak,3,6,,6,,
regular,nonpeak,3,6,,7,,
regular,nonpeak,6.75,6,,8,,
regular,nonpeak,8.25,6,,9,,
regular,nonpeak,10,6,,10,,
regular,nonpeak,15,7,,0,,
regular,nonpeak,15,7,,1,,
regular,nonpeak,11.5,7,,2,,
regular,nonpeak,8.75,7,,3,,
regular,nonpeak,7.75,7,,4,,
regular,nonpeak,6.75,7,,5,,
regular,nonpeak,3,7,,6,,
regular,nonpeak,3,7,,7,,
regular,nonpeak,4.25,7,,8,,
regular,nonpeak,6.5,7,,9,,
regular,nonpeak,7.5,7,,10,,
regular,nonpeak,17.5,8,,0,,
regular,nonpeak,17.5,8,,1,,
regular,nonpeak,14.5,8,,2,,
regular,nonpeak,13,8,,3,,
regular,nonpeak,11.5,8,,4,,
regular,nonpeak,8.25,8,,5,,
regular,nonpeak,6.75,8,,6,,
regular,nonpeak,4.25,8,,7,,
regular,nonpeak,3,8,,8,,
regular,nonpeak,4.25,8,,9,,
regular,nonpeak,4.5,8,,10,,
regular,nonpeak,19.25,9,,0,,
regular,nonpeak,19.25,9,,1,,
regular,nonpeak,16.75,9,,2,,
regular,nonpeak,15.25,9,,3,,
regular,nonpeak,13.75,9,,4,,
regular,nonpeak,12,9,,5,,
regular,nonpeak,8.25,9,,6,,
regular,nonpeak,6.5,9,,7,,
regular,nonpeak,4.25,9,,8,,
regular,nonpeak,3,9,,9,,
regular,nonpeak,3,9,,10,,
regular,nonpeak,20.25,10,,0,,
regular,nonpeak,20.25,10,,1,,
regular,nonpeak,18,10,,2,,
regular,nonpeak,16,10,,3,,
regular,nonpeak,14.75,10,,4,,
regular,nonpeak,12.75,10,,5,,
regular,nonpeak,10,10,,6,,
regular,nonpeak,7.5,10,,7,,
regular,nonpeak,4.5,10,,8,,
regular,nonpeak,3,10,,9,,
regular,nonpeak,3,10,,10,,
regular,peak,8.25,0,,1,,
regular,peak,9.75,0,,2,,
regular,peak,11.5,0,,3,,
regular,peak,12.75,0,,4,,
regular,peak,14.75,0,,5,,
regular,peak,17.5,0,,6,,
regular,peak,20,0,,7,,
regular,peak,23,0,,8,,
regular,peak,25.75,0,,9,,
regular,peak,27.25,0,,10,,
regular,peak,8.25,1,,0,,
regular,peak,9.75,1,,2,,
regular,peak,11.5,1,,3,,
regular,peak,12.75,1,,4,,
regular,peak,14.75,1,,5,,
regular,peak,17.5,1,,6,,
regular,peak,20,1,,7,,
regular,peak,23,1,,8,,
regular,peak,25.75,1,,9,,
regular,peak,27.25,1,,10,,
regular,peak,9.75,2,,0,,
regular,peak,9.75,2,,1,,
regular,peak,3,2,,2,,
regular,peak,3,2,,3,,
regular,peak,4.25,2,,4,,
regular,peak,5.75,2,,5,,
regular,peak,8,2,,6,,
regular,peak,11.5,2,,7,,
regular,peak,14.5,2,,8,,
regular,peak,16.75,2,,9,,
regular,peak,18,2,,10,,
regular,peak,11.5,3,,0,,
regular,peak,11.5,3,,1,,
regular,peak,3,3,,2,,
regular,peak,3,3,,3,,
regular,peak,4,3,,4,,
regular,peak,5,3,,5,,
regular,peak,7.25,3,,6,,
regular,peak,8.75,3,,7,,
regular,peak,13,3,,8,,
regular,peak,15.25,3,,9,,
regular,peak,16,3,,10,,
regular,peak,12.75,4,,0,,
regular,peak,12.75,4,,1,,
regular,peak,4.25,4,,2,,
regular,peak,3,4,,3,,
regular,peak,3,4,,4,,
regular,peak,3,4,,5,,
regular,peak,6,4,,6,,
regular,peak,7.75,4,,7,,
regular,peak,11.5,4,,8,,
regular,peak,13.75,4,,9,,
regular,peak,14.75,4,,10,,
regular,peak,14.75,5,,0,,
regular,peak,14.75,5,,1,,
regular,peak,5.75,5,,2,,
regular,peak,5,5,,3,,
regular,peak,3,5,,4,,
regular,peak,3,5,,5,,
regular,peak,3,5,,6,,
regular,peak,6.75,5,,7,,
regular,peak,8.25,5,,8,,
regular,peak,12,5,,9,,
regular,peak,12.75,5,,10,,
regular,peak,17.5,6,,0,,
regular,peak,17.5,6,,1,,
regular,peak,8,6,,2,,
regular,peak,7.25,6,,3,,
regular,peak,6,6,,4,,
regular,peak,3,6,,5,,
regular,peak,3,6,,6,,
regular,peak,3,6,,7,,
regular,peak,6.75,6,,8,,
regular,peak,8.25,6,,9,,
regular,peak,10,6,,10,,
regular,peak,20,7,,0,,
regular,peak,29,7,,1,,
regular,peak,11.5,7,,2,,
regular,peak,8.75,7,,3,,
regular,peak,7.75,7,,4,,
regular,peak,6.75,7,,5,,
regular,peak,3,7,,6,,
regular,peak,3,7,,7,,
regular,peak,4.25,7,,8,,
regular,peak,6.5,7,,9,,
regular,peak,7.5,7,,10,,
regular,peak,23,8,,0,,
regular,peak,23,8,,1,,
regular,peak,14.5,8,,2,,
regular,peak,13,8,,3,,
regular,peak,11.5,8,,4,,
regular,peak,8.25,8,,5,,
regular,peak,6.75,8,,6,,
regular,peak,4.25,8,,7,,
regular,peak,3,8,,8,,
regular,peak,4.25,8,,9,,
regular,peak,4.5,8,,10,,
regular,peak,25.75,9,,0,,
regular,peak,25.75,9,,1,,
regular,peak,16.75,9,,2,,
regular,peak,15.25,9,,3,,
regular,peak,13.75,9,,4,,
regular,peak,12,9,,5,,
regular,peak,8.25,9,,6,,
regular,peak,6.5,9,,7,,
regular,peak,4.25,9,,8,,
regular,peak,3,9,,9,,
regular,peak,3,9,,10,,
regular,peak,27.25,10,,0,,
regular,peak,27.25,10,,1,,
regular,peak,18,10,,2,,
regular,peak,16,10,,3,,
regular,peak,14.75,10,,4,,
regular,peak,12.75,10,,5,,
regular,peak,10,10,,6,,
regular,peak,7.5,10,,7,,
regular,peak,4.5,10,,8,,
regular,peak,3,10,,9,,
regular,peak,3,10,,10,,
regular,nonpeak,8.5,0,,12,,
regular,nonpeak,9.75,0,,13,,
regular,nonpeak,10.25,0,,14,,
regular,nonpeak,10.25,0,,15,,
regular,nonpeak,11.5,0,,16,,
regular,nonpeak,12.5,0,,17,,
regular,nonpeak,13.5,0,,18,,
regular,nonpeak,14.75,0,,19,,
regular,nonpeak,15.75,0,,20,,
regular,nonpeak,17.75,0,,21,,
regular,nonpeak,11.5,0,,31,,
regular,nonpeak,12.75,0,,41,,
regular,nonpeak,13.25,0,,42,,
regular,nonpeak,15.5,0,,51,,
regular,nonpeak,8.5,1,,12,,
regular,nonpeak,9.75,1,,13,,
regular,nonpeak,10.25,1,,14,,
regular,nonpeak,10.25,1,,15,,
regular,nonpeak,11.5,1,,16,,
