fare_type,fare_condition_type,price,start_zone,mid_zone,end_zone,start_time,end_time
regular,,14,115,,0,,
regular,,11,115,,1,,
regular,,9.75,115,,102,,
regular,,9,115,,103,,
regular,,8.5,115,,104,,
regular,,7.75,115,,105,,
regular,,7.25,115,,106,,
regular,,7,115,,107,,
regular,,6.5,115,,108,,
regular,,5.5,115,,109,,
regular,,5.25,115,,110,,
regular,,4,115,,111,,
regular,,3,115,,112,,
regular,,2.5,115,,114,,
regular,,14,116,,0,,
regular,,11,116,,1,,
regular,,9.75,116,,102,,
regular,,9,116,,103,,
regular,,8.5,116,,104,,
regular,,7.75,116,,105,,
regular,,7.25,116,,106,,
regular,,7,116,,107,,
regular,,6.5,116,,108,,
regular,,5.5,116,,109,,
regular,,5.25,116,,110,,
regular,,4,116,,111,,
regular,,3,116,,112,,
regular,,2.5,116,,114,,
regular,,2.25,116,,115,,
regular,,15.5,117,,0,,
regular,,12.5,117,,1,,
regular,,11.25,117,,102,,
regular,,10.75,117,,103,,
regular,,10.25,117,,104,,
regular,,9.25,117,,105,,
regular,,9,117,,106,,
regular,,8,117,,107,,
regular,,7.5,117,,108,,
regular,,7.25,117,,109,,
regular,,6.75,117,,110,,
regular,,6.5,117,,111,,
regular,,5.5,117,,112,,
regular,,4.5,117,,114,,
regular,,3,117,,115,,
regular,,3,117,,116,,
regular,,17,118,,0,,
regular,,14,118,,1,,
regular,,13,118,,102,,
regular,,12.75,118,,103,,
regular,,12.25,118,,104,,
regular,,11.25,118,,105,,
regular,,10.75,118,,106,,
regular,,10.25,118,,107,,
regular,,9.75,118,,108,,
regular,,9,118,,109,,
regular,,8,118,,110,,
regular,,7.75,118,,111,,
regular,,7.25,118,,112,,
regular,,6.75,118,,114,,
regular,,5.5,118,,115,,
regular,,5.5,118,,116,,
regular,,2.75,118,,117,,
regular,,18.5,119,,0,,
regular,,15.5,119,,1,,
regular,,14.75,119,,102,,
regular,,14.5,119,,103,,
regular,,14,119,,104,,
regular,,13,119,,105,,
regular,,12.75,119,,106,,
regular,,12.25,119,,107,,
regular,,11.25,119,,108,,
regular,,10.75,119,,109,,
regular,,10.25,119,,110,,
regular,,9.25,119,,111,,
regular,,9,119,,112,,
regular,,8,119,,114,,
regular,,7.25,119,,115,,
regular,,7.25,119,,116,,
regular,,4.5,119,,117,,
regular,,2.25,119,,118,,
regular,,19.5,120,,0,,
regular,,16.5,120,,1,,
regular,,16,120,,102,,
regular,,15.75,120,,103,,
regular,,14.75,120,,104,,
regular,,14.25,120,,105,,
regular,,14,120,,106,,
regular,,13,120,,107,,
regular,,12.5,120,,108,,
regular,,12.25,120,,109,,
regular,,11.25,120,,110,,
regular,,10.5,120,,111,,
regular,,10.25,120,,112,,
regular,,9,120,,114,,
regular,,8,120,,115,,
regular,,8,120,,116,,
regular,,6.75,120,,117,,
regular,,4.5,120,,118,,
regular,,2.5,120,,119,,
regular,,21,121,,0,,
regular,,18,121,,1,,
regular,,17.5,121,,102,,
regular,,17,121,,103,,
regular,,16.75,121,,104,,
regular,,16,121,,105,,
regular,,15.5,121,,106,,
regular,,14.75,121,,107,,
regular,,14.25,121,,108,,
regular,,13.75,121,,109,,
regular,,13,121,,110,,
regular,,12.5,121,,111,,
regular,,11.5,121,,112,,
regular,,10.75,121,,114,,
regular,,9.75,121,,115,,
regular,,9.75,121,,116,,
regular,,8,121,,117,,
regular,,6.75,121,,118,,
regular,,4.5,121,,119,,
regular,,3,121,,120,,
regular,,23.25,122,,0,,
regular,,20.25,122,,1,,
regular,,19.75,122,,102,,
regular,,19.5,122,,103,,
regular,,19.25,122,,104,,
regular,,18,122,,105,,
regular,,17.75,122,,106,,
regular,,17,122,,107,,
regular,,16.25,122,,108,,
regular,,16,122,,109,,
regular,,15.5,122,,110,,
regular,,14.5,122,,111,,
regular,,14.25,122,,112,,
regular,,13,122,,114,,
regular,,12.5,122,,115,,
regular,,12.5,122,,116,,
regular,,10.5,122,,117,,
regular,,8.5,122,,118,,
regular,,7,122,,119,,
regular,,6,122,,120,,
regular,,3.75,122,,121,,
regular,,14,0,,115,,
regular,,11,1,,115,,
regular,,9.75,102,,115,,
regular,,9,103,,115,,
regular,,8.5,104,,115,,
regular,,7.75,105,,115,,
regular,,7.25,106,,115,,
regular,,7,107,,115,,
regular,,6.5,108,,115,,
regular,,5.5,109,,115,,
regular,,5.25,110,,115,,
regular,,4,111,,115,,
regular,,3,112,,115,,
regular,,2.5,114,,115,,
regular,,14,0,,116,,
regular,,11,1,,116,,
regular,,9.75,102,,116,,
regular,,9,103,,116,,
regular,,8.5,104,,116,,
regular,,7.75,105,,116,,
regular,,7.25,106,,116,,
regular,,7,107,,116,,
regular,,6.5,108,,116,,
regular,,5.5,109,,116,,
regular,,5.25,110,,116,,
regular,,4,111,,116,,
regular,,3,112,,116,,
regular,,2.5,114,,116,,
regular,,2.25,115,,116,,
regular,,15.5,0,,117,,
regular,,12.5,1,,117,,
regular,,11.25,102,,117,,
regular,,10.75,103,,117,,
regular,,10.25,104,,117,,
regular,,9.25,105,,117,,
regular,,9,106,,117,,
regular,,8,107,,117,,
regular,,7.5,108,,117,,
regular,,7.25,109,,117,,
regular,,6.75,110,,117,,
regular,,6.5,111,,117,,
regular,,5.5,112,,117,,
regular,,4.5,114,,117,,
regular,,3,115,,117,,
regular,,3,116,,117,,
regular,,17,0,,118,,
regular,,14,1,,118,,
regular,,13,102,,118,,
regular,,12.75,103,,118,,
